workerid,condition,stim_present,stimulus,response,correct,rt
S72,1,1000,106,1,0,570
S72,1,1000,46,1,1,385
S72,1,1000,0,0,1,1214
S72,1,1000,23,1,1,364
S72,1,1000,74,1,0,916
S72,1,1000,81,0,1,319
S72,1,1000,66,1,1,259
S72,1,1000,64,1,1,445
S72,1,1000,112,1,1,292
S72,1,1000,76,1,1,662
S72,1,1000,84,1,1,465
S72,1,1000,44,0,1,376
S72,1,1000,51,1,1,387
S72,1,1000,11,1,1,353
S72,1,1000,108,1,1,634
S72,1,1000,60,1,1,769
S72,1,1000,35,1,1,535
S72,1,1000,73,0,0,1004
S72,1,1000,57,0,1,306
S72,1,1000,103,0,1,278
S72,1,1000,41,1,1,277
S72,1,1000,113,0,0,461
S72,1,1000,115,0,1,299
S72,1,1000,3,0,1,446
S72,1,1000,90,0,1,262
S72,1,1000,85,0,1,982
S72,1,1000,9,1,1,271
S72,1,1000,87,1,1,174
S72,1,1000,25,1,1,651
S72,1,1000,111,1,1,205
S72,1,1000,17,1,0,500
S72,1,1000,97,1,1,298
S72,1,1000,50,0,1,1141
S72,1,1000,22,1,1,492
S72,1,1000,18,1,1,174
S72,1,1000,45,0,1,326
S72,1,1000,12,1,1,504
S72,1,1000,34,1,1,295
S72,1,1000,49,0,1,522
S72,1,1000,20,1,1,140
S72,1,1000,78,0,1,29
S72,1,1000,52,1,1,35
S72,1,1000,99,0,1,568
S72,1,1000,75,1,1,927
S72,1,1000,114,1,1,45
S72,1,1000,58,0,1,311
S72,1,1000,7,0,1,327
S72,1,1000,29,1,1,583
S72,1,1000,27,1,0,439
S72,1,1000,5,1,1,516
S72,1,1000,100,0,1,377
S72,1,1000,94,0,1,314
S72,1,1000,53,0,1,268
S72,1,1000,36,0,1,345
S72,1,1000,14,1,0,865
S72,1,1000,30,1,1,158
S72,1,1000,96,0,1,646
S72,1,1000,77,1,1,470
S72,1,1000,2,1,1,401
S72,1,1000,19,0,1,547
S72,1,1000,63,0,0,518
S72,1,1000,43,1,1,238
S72,1,1000,109,0,1,244
S72,1,1000,33,1,1,253
S72,1,1000,92,1,1,1254
S72,1,1000,65,0,0,684
S72,1,1000,21,1,1,297
S72,1,1000,93,1,1,1222
S72,1,1000,83,1,1,554
S72,1,1000,61,0,1,860
S72,1,1000,117,1,1,322
S72,1,1000,89,0,0,556
S72,1,1000,95,0,1,413
S72,1,1000,67,0,1,430
S72,1,1000,82,1,1,331
S72,1,1000,118,0,1,263
S72,1,1000,116,0,1,299
S72,1,1000,39,1,1,751
S72,1,1000,54,1,1,292
S72,1,1000,24,0,1,278
S72,1,1000,55,1,1,278
S72,1,1000,16,0,1,1456
S72,1,1000,31,0,1,286
S72,1,1000,32,0,1,877
S72,1,1000,71,1,1,391
S72,1,1000,42,1,1,397
S72,1,1000,47,1,1,309
S72,1,1000,59,1,1,290
S72,1,1000,38,0,1,365
S72,1,1000,4,1,0,492
S72,1,1000,37,1,1,742
S72,1,1000,104,1,0,970
